hp_range,fruityard,maximum,number_of_gears,shuttle_Mechanical Shuttle,shuttle_No Shuttle,shuttle_No shuttle,shuttle_Power Shuttle,shift_position_center,shift_position_side,transmission_type_Not Synchronized,transmission_type_Not synchronized,transmission_type_Synchronized,injection_types_electronical,injection_types_mechanical,lifting_capacity,maximum_flow,maximum_torque,memo_speed_function,vcr,operator_environment_Cabin,operator_environment_Platform,operator_environment_Sem Platform,rated_pto_speed,seat_suspension_Mech. Vertical,seat_suspension_Pneumatic,control_interface_automatic,control_interface_button,control_interface_by lever,guidance_function,steering_wheel_adjustment_fixed,steering_wheel_adjustment_tilt+telescopic,steering_wheel_adjustment_tiltable,tank_capacity,telemetry,turning_radius,dashboard_analog,dashboard_digital,weight,outside_control_no,outside_control_optional,outside_control_yes,wheelbase
85.5,0,-0.48997956434557743,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.3336718780333652,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,-0.3516477519195809,False,True,False,-0.8070212883161344
85.5,0,-0.48997956434557743,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.3336718780333652,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,-0.3516477519195809,False,True,False,-0.8070212883161344
85.5,0,-0.48997956434557743,144.0,False,False,False,True,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.3336718780333652,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,-0.3516477519195809,False,True,False,-0.8070212883161344
85.5,0,-0.48997956434557743,144.0,False,False,False,True,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.3336718780333652,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,-0.3516477519195809,False,True,False,-0.8070212883161344
85.5,0,-0.48997956434557743,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.3336718780333652,0.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,0.5825388280365486,1,1.0,True,False,-0.3516477519195809,False,True,False,-0.8070212883161344
85.5,0,-0.48997956434557743,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.3336718780333652,0.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,0.5825388280365486,1,1.0,True,False,-0.3516477519195809,False,True,False,-0.8070212883161344
85.5,0,-0.48997956434557743,144.0,False,False,False,True,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.3336718780333652,0.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,0.5825388280365486,1,1.0,True,False,-0.3516477519195809,False,True,False,-0.8070212883161344
98.0,0,-0.036148523346015905,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.24545442750015617,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,0.26574639231869035,False,True,False,-0.8070212883161344
98.0,0,-0.036148523346015905,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.24545442750015617,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,0.26574639231869035,False,True,False,-0.8070212883161344
98.0,0,-0.036148523346015905,144.0,False,False,False,True,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.24545442750015617,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,0.26574639231869035,False,True,False,-0.8070212883161344
98.0,0,-0.036148523346015905,144.0,False,False,False,True,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.24545442750015617,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,0.26574639231869035,False,True,False,-0.8070212883161344
98.0,0,-0.036148523346015905,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.24545442750015617,0.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,0.5825388280365486,1,1.0,True,False,0.26574639231869035,False,True,False,-0.8070212883161344
98.0,0,-0.036148523346015905,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.24545442750015617,0.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,0.5825388280365486,1,1.0,True,False,0.26574639231869035,False,True,False,-0.8070212883161344
98.0,0,-0.036148523346015905,144.0,False,False,False,True,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.24545442750015617,0.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,0.5825388280365486,1,1.0,True,False,0.26574639231869035,False,True,False,-0.8070212883161344
98.0,0,-0.036148523346015905,144.0,True,False,False,False,False,True,False,False,True,True,False,0.6512085360094634,1.254833797069994,0.03022510541612202,1.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,0.627906976744186,False,True,0.10231853060855972,False,True,False,0.50934839156855
98.0,0,-0.036148523346015905,144.0,False,False,False,True,False,True,False,False,True,True,False,0.6512085360094634,1.254833797069994,0.03022510541612202,1.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,0.627906976744186,False,True,0.10231853060855972,False,True,False,0.50934839156855
